exp_1,exp_2,W_y_re,W_y_im
1,0,-0.04593398713659667,0.04593398713659667
0,1,-0.04593398713659667,-0.04593398713659667
2,0,0.0,-3.830024882847327e-9
1,1,7.658775444713158e-9,0.0
0,2,0.0,3.830024882847327e-9
3,0,1.2964209177048852e-7,1.2964209177048852e-7
2,1,1.1392753680067609e-6,-1.139275368006693e-6
1,2,1.1392753680067609e-6,1.139275368006693e-6
0,3,1.2964209177048852e-7,-1.2964209177048852e-7
4,0,-2.0686344045775557e-14,0.0
3,1,3.8020224384696223e-23,1.7223017666766875e-13
2,2,-3.8584891800728935e-13,0.0
1,3,3.8020224384696223e-23,-1.7223017666766875e-13
0,4,-2.0686344045775557e-14,-0.0
5,0,1.088279051622157e-12,-1.088279051622157e-12
4,1,-2.526350756163265e-11,-2.5263507562530703e-11
3,2,-1.0864433164812444e-10,1.0864433164811957e-10
2,3,-1.0864433164812444e-10,-1.0864433164811957e-10
1,4,-2.526350756163265e-11,2.5263507562530703e-11
0,5,1.088279051622157e-12,1.088279051622157e-12
6,0,0.0,2.3227860795732203e-19
5,1,4.355599687795383e-18,2.5130969523775707e-26
4,2,1.1500242423993922e-26,-1.639636095162527e-17
3,3,4.197230261026994e-17,3.267207930973453e-42
2,4,1.1500242423993922e-26,1.639636095162527e-17
1,5,4.355599687795383e-18,-2.5130969523775707e-26
0,6,0.0,-2.3227860795732203e-19
7,0,-1.1187754127596189e-17,-1.1187754127596189e-17
6,1,2.827715523458195e-16,-2.8277155237953875e-16
5,2,4.363618080452685e-15,4.3636180806518185e-15
4,3,1.3897987382653544e-14,-1.389798738267412e-14
3,4,1.3897987382653544e-14,1.389798738267412e-14
2,5,4.363618080452685e-15,-4.3636180806518185e-15
1,6,2.827715523458195e-16,2.8277155237953875e-16
0,7,-1.1187754127596189e-17,1.1187754127596189e-17
8,0,1.2792347984527737e-24,0.0
7,1,1.4641470392594569e-30,2.66225361157137e-23
6,2,-8.93842672389232e-22,4.444747506138795e-30
5,3,-5.242631186778927e-30,1.9822067089556337e-21
4,4,-5.700972018433268e-21,-2.0507283642371558e-38
3,5,-5.242631186778927e-30,-1.9822067089556337e-21
2,6,-8.93842672389232e-22,-4.444747506138795e-30
1,7,1.4641470392594569e-30,-2.66225361157137e-23
0,8,1.2792347984527737e-24,-0.0
9,0,-6.495275600478088e-23,6.495275600478088e-23
8,1,-3.5663984846078774e-21,-3.5663984841763254e-21
7,2,1.5260171734455218e-19,-1.526017173591351e-19
6,3,-7.67736317405087e-19,-7.677363174303457e-19
5,4,-2.031814346398676e-18,2.0318143464071082e-18
4,5,-2.031814346398676e-18,-2.0318143464071082e-18
3,6,-7.67736317405087e-19,7.677363174303457e-19
2,7,1.5260171734455218e-19,1.526017173591351e-19
1,8,-3.5663984846078774e-21,3.5663984841763254e-21
0,9,-6.495275600478088e-23,-6.495275600478088e-23
