exp_1,exp_2,exp_3,exp_4,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im,R4_re,R4_im
1,0,0,0,-0.0,0.5489204110069565,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0.0,0.0,-0.0,-0.5489204110069565,0.0,0.0,0.0,0.0
1,0,1,0,-0.0,-1.09479433189943,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,1,-0.0,2.4167547650431448e-14,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0.0,-0.0,-0.0,1.09479433189943,0.0,0.0,0.0,0.0
0,1,0,1,0.0,-0.0,-0.0,-2.4167547650431448e-14,0.0,0.0,0.0,0.0
2,1,0,0,-0.0,2.657856151865994e-5,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0,0.0,-0.0,-0.0,-2.657856151865994e-5,0.0,0.0,0.0,0.0
1,0,2,0,0.9972250170349385,1.089402708635863,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,-2.2013708342443355e-14,-6.187882422666244e-14,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,2,-0.0,0.07425343225614976,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0,0.0,-0.0,0.9972250170349385,-1.089402708635863,0.0,0.0,0.0,0.0
0,1,1,1,0.0,-0.0,-2.2013708342443355e-14,6.187882422666244e-14,0.0,0.0,0.0,0.0
0,1,0,2,0.0,-0.0,-0.0,-0.07425343225614976,0.0,0.0,0.0,0.0
2,1,1,0,-2.4209849915120533e-5,1.3123851639493869e-5,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0,0.0,-0.0,-2.4209849915120533e-5,-1.3123851639493869e-5,0.0,0.0,0.0,0.0
1,0,2,1,2.090176813376133e-14,3.613348383837105e-14,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,2,-0.06763588199992943,-0.2942387709623552,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,1,0.0,-0.0,2.090176813376133e-14,-3.613348383837105e-14,0.0,0.0,0.0,0.0
0,1,1,2,0.0,-0.0,-0.06763588199992943,0.2942387709623552,0.0,0.0,0.0,0.0
2,1,2,0,-4.8136445129385406e-5,-1.9788179533531096e-6,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,-0.0,-4.351965319097372e-5,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0,0.0,-0.0,-4.8136445129385406e-5,1.9788179533531096e-6,0.0,0.0,0.0,0.0
1,2,0,2,0.0,-0.0,-0.0,4.351965319097372e-5,0.0,0.0,0.0,0.0
1,0,2,2,0.1669319504625322,0.6561194147047681,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,2,0.0,-0.0,0.1669319504625322,-0.6561194147047681,0.0,0.0,0.0,0.0
2,1,1,2,4.291629615203748e-5,0.0001595552792790385,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,2,0.0,-0.0,4.291629615203748e-5,-0.0001595552792790385,0.0,0.0,0.0,0.0
2,1,2,2,-0.00010785334058967369,-0.00026203585506361446,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,2,0.0,-0.0,-0.00010785334058967369,0.00026203585506361446,0.0,0.0,0.0,0.0
