exp_1,exp_2,exp_3,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im
1,0,0,0.004028440003468248,16.859169021043915,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,0.004028440003468248,-16.859169021043915,0.0,0.0
1,0,1,-212.0079322804799,-59.107701234198544,0.0,0.0,0.0,0.0
0,1,1,0.0,-0.0,-212.0079322804799,59.107701234198544,0.0,0.0
2,1,0,-0.11101108533687333,0.07065076413527639,0.0,0.0,0.0,0.0
1,2,0,0.0,-0.0,-0.11101108533687333,-0.07065076413527639,0.0,0.0
1,0,2,2981.0858629977724,95.2350170093742,0.0,0.0,0.0,0.0
0,1,2,0.0,-0.0,2981.0858629977724,-95.2350170093742,0.0,0.0
2,1,1,-4.651777704362699,8.758739657107435,0.0,0.0,0.0,0.0
1,2,1,0.0,-0.0,-4.651777704362699,-8.758739657107435,0.0,0.0
1,0,3,-51641.481665841,46757.85822905013,0.0,0.0,0.0,0.0
0,1,3,0.0,-0.0,-51641.481665841,-46757.85822905013,0.0,0.0
3,2,0,0.005924752989651045,-0.0013952393144207236,0.0,0.0,0.0,0.0
2,3,0,0.0,-0.0,0.005924752989651045,0.0013952393144207236,0.0,0.0
2,1,2,-730.9040100191064,823.8407742843723,0.0,0.0,0.0,0.0
1,2,2,0.0,-0.0,-730.9040100191064,-823.8407742843723,0.0,0.0
1,0,4,11014.452814434868,-2.0687218962698723e6,0.0,0.0,0.0,0.0
0,1,4,0.0,-0.0,11014.452814434868,2.0687218962698723e6,0.0,0.0
3,2,1,1.2252693143531481,-0.7724452860156996,0.0,0.0,0.0,0.0
2,3,1,0.0,-0.0,1.2252693143531481,0.7724452860156996,0.0,0.0
2,1,3,-39563.94502061489,63046.705134571275,0.0,0.0,0.0,0.0
1,2,3,0.0,-0.0,-39563.94502061489,-63046.705134571275,0.0,0.0
1,0,5,2.840870480054435e7,3.3066032836534616e7,0.0,0.0,0.0,0.0
0,1,5,0.0,-0.0,2.840870480054435e7,-3.3066032836534616e7,0.0,0.0
4,3,0,-0.0005966247098388611,0.00028335837477943095,0.0,0.0,0.0,0.0
3,4,0,0.0,-0.0,-0.0005966247098388611,-0.00028335837477943095,0.0,0.0
3,2,2,272.6814549190835,-237.18896332243273,0.0,0.0,0.0,0.0
2,3,2,0.0,-0.0,272.6814549190835,237.18896332243273,0.0,0.0
2,1,4,-3.892425345058616e6,5.889014145084188e6,0.0,0.0,0.0,0.0
1,2,4,0.0,-0.0,-3.892425345058616e6,-5.889014145084188e6,0.0,0.0
1,0,6,-1.8892177332996747e9,4.0208250674368775e8,0.0,0.0,0.0,0.0
0,1,6,0.0,-0.0,-1.8892177332996747e9,-4.0208250674368775e8,0.0,0.0
4,3,1,-0.3198657954652995,0.22380753401101955,0.0,0.0,0.0,0.0
3,4,1,0.0,-0.0,-0.3198657954652995,-0.22380753401101955,0.0,0.0
3,2,3,55777.829080159056,-63593.71111615971,0.0,0.0,0.0,0.0
2,3,3,0.0,-0.0,55777.829080159056,63593.71111615971,0.0,0.0
2,1,5,-2.799650567731368e8,4.0785413934316283e8,0.0,0.0,0.0,0.0
1,2,5,0.0,-0.0,-2.799650567731368e8,-4.0785413934316283e8,0.0,0.0
1,0,7,1.8856561419624762e11,-6.774017118882797e10,0.0,0.0,0.0,0.0
0,1,7,0.0,-0.0,1.8856561419624762e11,6.774017118882797e10,0.0,0.0
5,4,0,8.813316531492186e-5,-4.4697646379546034e-5,0.0,0.0,0.0,0.0
4,5,0,0.0,-0.0,8.813316531492186e-5,4.4697646379546034e-5,0.0,0.0
4,3,2,-132.97522837204977,117.99263345430928,0.0,0.0,0.0,0.0
3,4,2,0.0,-0.0,-132.97522837204977,-117.99263345430928,0.0,0.0
3,2,4,1.2161923446254164e7,-1.5894251492283693e7,0.0,0.0,0.0,0.0
2,3,4,0.0,-0.0,1.2161923446254164e7,1.5894251492283693e7,0.0,0.0
2,1,6,-2.351891465386523e10,4.102944994885526e10,0.0,0.0,0.0,0.0
1,2,6,0.0,-0.0,-2.351891465386523e10,-4.102944994885526e10,0.0,0.0
1,0,8,-1.65817518044809e13,7.764131847064747e12,0.0,0.0,0.0,0.0
0,1,8,0.0,-0.0,-1.65817518044809e13,-7.764131847064747e12,0.0,0.0
