exp_1,exp_2,exp_3,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im
1,0,0,-0.0,0.6187053874592267,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,-0.0,-0.6187053874592267,0.0,0.0
1,0,1,-0.0,0.13164087019805445,0.0,0.0,0.0,0.0
0,1,1,0.0,-0.0,-0.0,-0.13164087019805445,0.0,0.0
2,1,0,-0.0,-1.9576913319775733e-6,0.0,0.0,0.0,0.0
1,2,0,0.0,-0.0,-0.0,1.9576913319775733e-6,0.0,0.0
1,0,2,-0.0,0.05169976039066869,0.0,0.0,0.0,0.0
0,1,2,0.0,-0.0,-0.0,-0.05169976039066869,0.0,0.0
2,1,1,-0.0,-3.972099228987896e-5,0.0,0.0,0.0,0.0
1,2,1,0.0,-0.0,-0.0,3.972099228987896e-5,0.0,0.0
1,0,3,-0.0,-0.011116994787454624,0.0,0.0,0.0,0.0
0,1,3,0.0,-0.0,-0.0,0.011116994787454624,0.0,0.0
3,2,0,-0.0,3.725105799716491e-9,0.0,0.0,0.0,0.0
2,3,0,0.0,-0.0,-0.0,-3.725105799716491e-9,0.0,0.0
2,1,2,-0.0,1.3602683074719908e-5,0.0,0.0,0.0,0.0
1,2,2,0.0,-0.0,-0.0,-1.3602683074719908e-5,0.0,0.0
