exp_1,exp_2,exp_3,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im
1,0,0,-0.0,0.6187053874170462,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,-0.0,-0.6187053874170462,0.0,0.0
1,0,1,-0.0,0.13164087019489779,0.0,0.0,0.0,0.0
0,1,1,0.0,-0.0,-0.0,-0.13164087019489779,0.0,0.0
2,1,0,-0.0,-1.9576913248858874e-6,0.0,0.0,0.0,0.0
1,2,0,0.0,-0.0,-0.0,1.9576913248858874e-6,0.0,0.0
1,0,2,-0.0,0.051699752646566774,0.0,0.0,0.0,0.0
0,1,2,0.0,-0.0,-0.0,-0.051699752646566774,0.0,0.0
2,1,1,-0.0,-3.972120797349967e-5,0.0,0.0,0.0,0.0
1,2,1,0.0,-0.0,-0.0,3.972120797349967e-5,0.0,0.0
1,0,3,-0.0,-0.011116740819894602,0.0,0.0,0.0,0.0
0,1,3,0.0,-0.0,-0.0,0.011116740819894602,0.0,0.0
3,2,0,-0.0,3.725110917834218e-9,0.0,0.0,0.0,0.0
2,3,0,0.0,-0.0,-0.0,-3.725110917834218e-9,0.0,0.0
2,1,2,-0.0,1.3601620175565481e-5,0.0,0.0,0.0,0.0
1,2,2,0.0,-0.0,-0.0,-1.3601620175565481e-5,0.0,0.0
1,0,4,-0.0,0.0001750458302663907,0.0,0.0,0.0,0.0
0,1,4,0.0,-0.0,-0.0,-0.0001750458302663907,0.0,0.0
3,2,1,-0.0,-1.2983542101885967e-10,0.0,0.0,0.0,0.0
2,3,1,0.0,-0.0,-0.0,1.2983542101885967e-10,0.0,0.0
2,1,3,-0.0,1.256514179581998e-5,0.0,0.0,0.0,0.0
1,2,3,0.0,-0.0,-0.0,-1.256514179581998e-5,0.0,0.0
1,0,5,-0.0,0.0008911023547465547,0.0,0.0,0.0,0.0
0,1,5,0.0,-0.0,-0.0,-0.0008911023547465547,0.0,0.0
4,3,0,-0.0,-2.2106227166186025e-13,0.0,0.0,0.0,0.0
3,4,0,0.0,-0.0,-0.0,2.2106227166186025e-13,0.0,0.0
3,2,2,-0.0,-9.667634152057669e-9,0.0,0.0,0.0,0.0
2,3,2,0.0,-0.0,-0.0,9.667634152057669e-9,0.0,0.0
2,1,4,-0.0,-1.1432889943465527e-5,0.0,0.0,0.0,0.0
1,2,4,0.0,-0.0,-0.0,1.1432889943465527e-5,0.0,0.0
1,0,6,-0.0,-0.0003042121619692297,0.0,0.0,0.0,0.0
0,1,6,0.0,-0.0,-0.0,0.0003042121619692297,0.0,0.0
4,3,1,-0.0,1.6861039242884436e-12,0.0,0.0,0.0,0.0
3,4,1,0.0,-0.0,-0.0,-1.6861039242884436e-12,0.0,0.0
3,2,3,-0.0,6.522514192702954e-9,0.0,0.0,0.0,0.0
2,3,3,0.0,-0.0,-0.0,-6.522514192702954e-9,0.0,0.0
2,1,5,-0.0,1.4431686027403371e-6,0.0,0.0,0.0,0.0
1,2,5,0.0,-0.0,-0.0,-1.4431686027403371e-6,0.0,0.0
1,0,7,-0.0,-6.596390278217023e-6,0.0,0.0,0.0,0.0
0,1,7,0.0,-0.0,-0.0,6.596390278217023e-6,0.0,0.0
4,3,2,-0.0,-4.1724356268472516e-13,0.0,0.0,0.0,0.0
3,4,2,0.0,-0.0,-0.0,4.1724356268472516e-13,0.0,0.0
3,2,4,-0.0,4.543368967786132e-9,0.0,0.0,0.0,0.0
2,3,4,0.0,-0.0,-0.0,-4.543368967786132e-9,0.0,0.0
2,1,6,-0.0,2.7365335940917507e-6,0.0,0.0,0.0,0.0
1,2,6,0.0,-0.0,-0.0,-2.7365335940917507e-6,0.0,0.0
4,3,3,-0.0,-3.967760042070108e-12,0.0,0.0,0.0,0.0
3,4,3,0.0,-0.0,-0.0,3.967760042070108e-12,0.0,0.0
3,2,5,-0.0,-7.579920022827899e-9,0.0,0.0,0.0,0.0
2,3,5,0.0,-0.0,-0.0,7.579920022827899e-9,0.0,0.0
2,1,7,-0.0,-1.6915691346147861e-6,0.0,0.0,0.0,0.0
1,2,7,0.0,-0.0,-0.0,1.6915691346147861e-6,0.0,0.0
4,3,4,-0.0,3.960092362136116e-12,0.0,0.0,0.0,0.0
3,4,4,0.0,-0.0,-0.0,-3.960092362136116e-12,0.0,0.0
3,2,6,-0.0,2.0491372289346915e-9,0.0,0.0,0.0,0.0
2,3,6,0.0,-0.0,-0.0,-2.0491372289346915e-9,0.0,0.0
